Timestamp,Condition,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,AF3,AF4,FP1,FP2,AF7,AF8,
18/07/2022 8:37:45 p.m.:426,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:469,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:509,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:532,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:567,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:601,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:626,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:652,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:679,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:706,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:745,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:771,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:803,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:837,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:892,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:928,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:953,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:45 p.m.:988,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:38,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:74,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:110,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:138,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:171,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:209,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:242,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:270,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:302,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:339,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:395,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:423,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:450,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:473,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
